size,average
1,101.05723
1,19.03558
1,31.63668
10,1009.42884
10,1681.357
10,990.02529
100,10989
100,11429
100,11709
100,11838
100,11878.43354
100,11882
100,11943.39334
100,12221
100,12276.72963
100,12296.67372
100,12346
100,13227
100,13268.85657
100,14714
100,14866.72733
100,20585
100,23500
100,25849
1000,142885
1000,144098
1000,145810.14673
1000,146077
1000,146449
1000,146821
1000,147088.75563
1000,147134.86308
1000,147143
1000,147552
1000,147575
1000,147639
1000,148170.89705
1000,148347
1000,149269
1000,149787.1622
1000,153482
1000,155780.65968
1000,240292
1000,251306
1000,256524
1000,259579
1000,262925
10000,1680228
10000,1690505
10000,1692263
10000,1696091
10000,1699649
10000,1701733
10000,1707430.87032
10000,1709696
10000,1709703.68205
10000,1713281.60384
10000,1714153.05728
10000,1719782
10000,1721622
10000,1723715.41717
10000,1725163.96275
10000,1728610
10000,1735112
10000,1741219
100000,1.872809657967e7
100000,1.873193397015e7
100000,1.873982423213e7
100000,1.879552170164e7
100000,1.926949690051e7
100000,1.952594276508e7
100000,18207761
100000,18215840
100000,18325454
100000,18340303
100000,18343746
100000,18346801
100000,18372176
100000,18379484
100000,18381838
100000,18382744
100000,18439685
100000,18769496
100000,18888047
100000,18952818
1000000,199055575
1000000,199299130
1000000,199587249
1000000,199870445
1000000,2.1639185556987e8
1000000,2.1642639128352e8
1000000,2.1790021817032e8
1000000,2.1800407136383e8
1000000,2.2108021290061e8
1000000,2.2129571550837e8
1000000,200078138
1000000,200433965
1000000,216725661
1000000,217012155
1000000,217451826
10000000,3.06171750936806e9
10000000,3.0637317673408e9
10000000,3.06710120840002e9
10000000,3.14786042536127e9
10000000,3.15459041889288e9
